source,raw_country,normalized_country
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,American Samoa,American Samoa
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Anguilla,Anguilla
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Bermuda,Bermuda
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Canary Is,Canary Is
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Cayman Islands (the),Cayman Islands (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Cook Islands (the),Cook Islands (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,French Guiana,French Guiana
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,French Polynesia,French Polynesia
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Guadeloupe,Guadeloupe
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Guam,Guam
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Isle of Man,Isle of Man
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Lao People's Democratic Republic (the),Lao People's Democratic Republic (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Macedonia (the former Yugoslav Republic of),Macedonia (the former Yugoslav Republic of)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Marshall Islands (the),Marshall Islands (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Martinique,Martinique
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Micronesia (Federated States of),Micronesia (Federated States of)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Moldova (the Republic of),Moldova (the Republic of)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Montserrat,Montserrat
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Netherlands (the),Netherlands (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,New Caledonia,New Caledonia
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Niger (the),Niger (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Niue,Niue
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Northern Mariana Islands (the),Northern Mariana Islands (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,"Palestine, State of","Palestine, State of"
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Philippines (the),Philippines (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Russian Federation (the),Russian Federation (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Réunion,Réunion
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Saint Barthélemy,Saint Barthélemy
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha"
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Saint Martin (French Part),Saint Martin (French Part)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Serbia Montenegro,Serbia Montenegro
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Sint Maarten (Dutch part),Sint Maarten (Dutch part)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Sudan (the),Sudan (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Taiwan (Province of China),Taiwan (Province of China)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,"Tanzania, United Republic of","Tanzania, United Republic of"
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Tokelau,Tokelau
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Turks and Caicos Islands (the),Turks and Caicos Islands (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,United Arab Emirates (the),United Arab Emirates (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom of Great Britain and Northern Ireland (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,United States of America (the),United States of America (the)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Virgin Island (British),Virgin Island (British)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Virgin Island (U.S.),Virgin Island (U.S.)
all-natural-disasters-19002021-eosdis/DISASTERS/1970-2021_DISASTERS.xlsx - emdat data.csv,Wallis and Futuna,Wallis and Futuna
city-quality-of-life-dataset/uaScoresDataFrame.csv,District of Columbia,District of Columbia
city-quality-of-life-dataset/uaScoresDataFrame.csv,Gibraltar,Gibraltar
countries-of-the-world-2023/world-data-2023.csv,East Timor,East Timor
countries-of-the-world-2023/world-data-2023.csv,Federated States of Micronesia,Federated States of Micronesia
countries-of-the-world-2023/world-data-2023.csv,Palestinian National Authority,Palestinian National Authority
countries-of-the-world-2023/world-data-2023.csv,Republic of Ireland,Republic of Ireland
countries-of-the-world-2023/world-data-2023.csv,S�����������,S�����������
countries-of-the-world-2023/world-data-2023.csv,The Bahamas,The Bahamas
countries-of-the-world-2023/world-data-2023.csv,The Gambia,The Gambia
countries-of-the-world-2023/world-data-2023.csv,Vatican City,Vatican City
daily-temperature-major-cities/city_temperature.csv,The Netherlands,The Netherlands
daily-temperature-major-cities/city_temperature.csv,Yugoslavia,Yugoslavia
emissions-by-country/GCB2022v27_percapita_flat.csv,Anguilla,Anguilla
emissions-by-country/GCB2022v27_percapita_flat.csv,Antarctica,Antarctica
emissions-by-country/GCB2022v27_percapita_flat.csv,Bermuda,Bermuda
emissions-by-country/GCB2022v27_percapita_flat.csv,"Bonaire, Saint Eustatius and Saba","Bonaire, Saint Eustatius and Saba"
emissions-by-country/GCB2022v27_percapita_flat.csv,British Virgin Islands,British Virgin Islands
emissions-by-country/GCB2022v27_percapita_flat.csv,Christmas Island,Christmas Island
emissions-by-country/GCB2022v27_percapita_flat.csv,Cook Islands,Cook Islands
emissions-by-country/GCB2022v27_percapita_flat.csv,Curaçao,Curaçao
emissions-by-country/GCB2022v27_percapita_flat.csv,Côte d'Ivoire,Côte d'Ivoire
emissions-by-country/GCB2022v27_percapita_flat.csv,Faeroe Islands,Faeroe Islands
emissions-by-country/GCB2022v27_percapita_flat.csv,French Equatorial Africa,French Equatorial Africa
emissions-by-country/GCB2022v27_percapita_flat.csv,French Guiana,French Guiana
emissions-by-country/GCB2022v27_percapita_flat.csv,French Polynesia,French Polynesia
emissions-by-country/GCB2022v27_percapita_flat.csv,French West Africa,French West Africa
emissions-by-country/GCB2022v27_percapita_flat.csv,Global,Global
emissions-by-country/GCB2022v27_percapita_flat.csv,Greenland,Greenland
emissions-by-country/GCB2022v27_percapita_flat.csv,Guadeloupe,Guadeloupe
emissions-by-country/GCB2022v27_percapita_flat.csv,International Transport,International Transport
emissions-by-country/GCB2022v27_percapita_flat.csv,Kuwaiti Oil Fires,Kuwaiti Oil Fires
emissions-by-country/GCB2022v27_percapita_flat.csv,Leeward Islands,Leeward Islands
emissions-by-country/GCB2022v27_percapita_flat.csv,Martinique,Martinique
emissions-by-country/GCB2022v27_percapita_flat.csv,Mayotte,Mayotte
emissions-by-country/GCB2022v27_percapita_flat.csv,Micronesia (Federated States of),Micronesia (Federated States of)
emissions-by-country/GCB2022v27_percapita_flat.csv,Montserrat,Montserrat
emissions-by-country/GCB2022v27_percapita_flat.csv,New Caledonia,New Caledonia
emissions-by-country/GCB2022v27_percapita_flat.csv,Niue,Niue
emissions-by-country/GCB2022v27_percapita_flat.csv,Occupied Palestinian Territory,Occupied Palestinian Territory
emissions-by-country/GCB2022v27_percapita_flat.csv,Pacific Islands (Palau),Pacific Islands (Palau)
emissions-by-country/GCB2022v27_percapita_flat.csv,Panama Canal Zone,Panama Canal Zone
emissions-by-country/GCB2022v27_percapita_flat.csv,Ryukyu Islands,Ryukyu Islands
emissions-by-country/GCB2022v27_percapita_flat.csv,Réunion,Réunion
emissions-by-country/GCB2022v27_percapita_flat.csv,Saint Helena,Saint Helena
emissions-by-country/GCB2022v27_percapita_flat.csv,Saint Pierre and Miquelon,Saint Pierre and Miquelon
emissions-by-country/GCB2022v27_percapita_flat.csv,Sint Maarten (Dutch part),Sint Maarten (Dutch part)
emissions-by-country/GCB2022v27_percapita_flat.csv,St. Kitts-Nevis-Anguilla,St. Kitts-Nevis-Anguilla
emissions-by-country/GCB2022v27_percapita_flat.csv,Turks and Caicos Islands,Turks and Caicos Islands
emissions-by-country/GCB2022v27_percapita_flat.csv,Wallis and Futuna Islands,Wallis and Futuna Islands
freedom-in-the-world/Freedom in the World 2013-2022 Dataset (Ver 2.18.23).csv,Abkhazia,Abkhazia
freedom-in-the-world/Freedom in the World 2013-2022 Dataset (Ver 2.18.23).csv,Crimea,Crimea
freedom-in-the-world/Freedom in the World 2013-2022 Dataset (Ver 2.18.23).csv,Eastern Donbas,Eastern Donbas
freedom-in-the-world/Freedom in the World 2013-2022 Dataset (Ver 2.18.23).csv,Gaza Strip,Gaza Strip
freedom-in-the-world/Freedom in the World 2013-2022 Dataset (Ver 2.18.23).csv,Indian Kashmir,Indian Kashmir
freedom-in-the-world/Freedom in the World 2013-2022 Dataset (Ver 2.18.23).csv,Nagorno-Karabakh,Nagorno-Karabakh
freedom-in-the-world/Freedom in the World 2013-2022 Dataset (Ver 2.18.23).csv,Northern Cyprus,Northern Cyprus
freedom-in-the-world/Freedom in the World 2013-2022 Dataset (Ver 2.18.23).csv,Pakistani Kashmir,Pakistani Kashmir
freedom-in-the-world/Freedom in the World 2013-2022 Dataset (Ver 2.18.23).csv,Somaliland,Somaliland
freedom-in-the-world/Freedom in the World 2013-2022 Dataset (Ver 2.18.23).csv,South Ossetia,South Ossetia
freedom-in-the-world/Freedom in the World 2013-2022 Dataset (Ver 2.18.23).csv,St. Kitts and Nevis,St. Kitts and Nevis
freedom-in-the-world/Freedom in the World 2013-2022 Dataset (Ver 2.18.23).csv,St. Vincent and the Grenadines,St. Vincent and the Grenadines
freedom-in-the-world/Freedom in the World 2013-2022 Dataset (Ver 2.18.23).csv,The Gambia,The Gambia
freedom-in-the-world/Freedom in the World 2013-2022 Dataset (Ver 2.18.23).csv,Tibet,Tibet
freedom-in-the-world/Freedom in the World 2013-2022 Dataset (Ver 2.18.23).csv,Transnistria,Transnistria
freedom-in-the-world/Freedom in the World 2013-2022 Dataset (Ver 2.18.23).csv,West Bank,West Bank
freedom-in-the-world/Freedom in the World 2013-2022 Dataset (Ver 2.18.23).csv,Western Sahara,Western Sahara
global-cost-of-living/cost-of-living_v2.csv,American Samoa,American Samoa
global-cost-of-living/cost-of-living_v2.csv,Anguilla,Anguilla
global-cost-of-living/cost-of-living_v2.csv,Bermuda,Bermuda
global-cost-of-living/cost-of-living_v2.csv,British Virgin Islands,British Virgin Islands
global-cost-of-living/cost-of-living_v2.csv,Cook Islands,Cook Islands
global-cost-of-living/cost-of-living_v2.csv,Curacao,Curacao
global-cost-of-living/cost-of-living_v2.csv,Falkland Islands,Falkland Islands
global-cost-of-living/cost-of-living_v2.csv,Faroe Islands,Faroe Islands
global-cost-of-living/cost-of-living_v2.csv,French Guiana,French Guiana
global-cost-of-living/cost-of-living_v2.csv,French Polynesia,French Polynesia
global-cost-of-living/cost-of-living_v2.csv,Gibraltar,Gibraltar
global-cost-of-living/cost-of-living_v2.csv,Greenland,Greenland
global-cost-of-living/cost-of-living_v2.csv,Guadeloupe,Guadeloupe
global-cost-of-living/cost-of-living_v2.csv,Isle Of Man,Isle Of Man
global-cost-of-living/cost-of-living_v2.csv,Jersey,Jersey
global-cost-of-living/cost-of-living_v2.csv,Kosovo (Disputed Territory),Kosovo (Disputed Territory)
global-cost-of-living/cost-of-living_v2.csv,Martinique,Martinique
global-cost-of-living/cost-of-living_v2.csv,Montserrat,Montserrat
global-cost-of-living/cost-of-living_v2.csv,New Caledonia,New Caledonia
global-cost-of-living/cost-of-living_v2.csv,Reunion,Reunion
global-cost-of-living/cost-of-living_v2.csv,Saint Helena,Saint Helena
global-cost-of-living/cost-of-living_v2.csv,Saint Kitts And Nevis,Saint Kitts And Nevis
global-cost-of-living/cost-of-living_v2.csv,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines
global-cost-of-living/cost-of-living_v2.csv,Sao Tome And Principe,Sao Tome And Principe
global-cost-of-living/cost-of-living_v2.csv,Sint Maarten,Sint Maarten
global-cost-of-living/cost-of-living_v2.csv,Trinidad And Tobago,Trinidad And Tobago
global-cost-of-living/cost-of-living_v2.csv,Turks And Caicos Islands,Turks And Caicos Islands
global-cost-of-living/cost-of-living_v2.csv,Vatican City,Vatican City
henley-passport-index/henley-passport-index-count-2026-03-17.csv,Hong Kong (SAR China),Hong Kong (SAR China)
henley-passport-index/henley-passport-index-count-2026-03-17.csv,Macao (SAR China),Macao (SAR China)
henley-passport-index/henley-passport-index-count-2026-03-17.csv,Palau Islands,Palau Islands
henley-passport-index/henley-passport-index-count-2026-03-17.csv,Palestinian Territory,Palestinian Territory
henley-passport-index/henley-passport-index-count-2026-03-17.csv,St. Kitts and Nevis,St. Kitts and Nevis
henley-passport-index/henley-passport-index-count-2026-03-17.csv,St. Vincent and the Grenadines,St. Vincent and the Grenadines
henley-passport-index/henley-passport-index-count-2026-03-17.csv,Taiwan (Chinese Taipei),Taiwan (Chinese Taipei)
henley-passport-index/henley-passport-index-count-2026-03-17.csv,The Gambia,The Gambia
henley-passport-index/henley-passport-index-count-2026-03-17.csv,Vatican City,Vatican City
henley-passport-index/henley-passport-index-count-2026-03-17.csv,eSwatini,eSwatini
life-expectancy-dataset-real/impv/final.csv,Bermuda,Bermuda
life-expectancy-dataset-real/impv/final.csv,Cayman Islands,Cayman Islands
life-expectancy-dataset-real/impv/final.csv,Channel Islands,Channel Islands
life-expectancy-dataset-real/impv/final.csv,Curacao,Curacao
life-expectancy-dataset-real/impv/final.csv,Early-demographic dividend,Early-demographic dividend
life-expectancy-dataset-real/impv/final.csv,East Asia & Pacific (IDA & IBRD countries),East Asia & Pacific (IDA & IBRD countries)
life-expectancy-dataset-real/impv/final.csv,East Asia & Pacific (excluding high income),East Asia & Pacific (excluding high income)
life-expectancy-dataset-real/impv/final.csv,Europe & Central Asia,Europe & Central Asia
life-expectancy-dataset-real/impv/final.csv,Europe & Central Asia (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries)
life-expectancy-dataset-real/impv/final.csv,Europe & Central Asia (excluding high income),Europe & Central Asia (excluding high income)
life-expectancy-dataset-real/impv/final.csv,Faroe Islands,Faroe Islands
life-expectancy-dataset-real/impv/final.csv,Fragile and conflict affected situations,Fragile and conflict affected situations
life-expectancy-dataset-real/impv/final.csv,French Polynesia,French Polynesia
life-expectancy-dataset-real/impv/final.csv,Greenland,Greenland
life-expectancy-dataset-real/impv/final.csv,Guam,Guam
life-expectancy-dataset-real/impv/final.csv,Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC)
life-expectancy-dataset-real/impv/final.csv,IBRD only,IBRD only
life-expectancy-dataset-real/impv/final.csv,IDA & IBRD total,IDA & IBRD total
life-expectancy-dataset-real/impv/final.csv,IDA blend,IDA blend
life-expectancy-dataset-real/impv/final.csv,IDA only,IDA only
life-expectancy-dataset-real/impv/final.csv,IDA total,IDA total
life-expectancy-dataset-real/impv/final.csv,Isle of Man,Isle of Man
life-expectancy-dataset-real/impv/final.csv,"Korea, Dem. People's Rep.","Korea, Dem. People's Rep."
life-expectancy-dataset-real/impv/final.csv,Late-demographic dividend,Late-demographic dividend
life-expectancy-dataset-real/impv/final.csv,Latin America & Caribbean (excluding high income),Latin America & Caribbean (excluding high income)
life-expectancy-dataset-real/impv/final.csv,Latin America & the Caribbean (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries)
life-expectancy-dataset-real/impv/final.csv,Least developed countries: UN classification,Least developed countries: UN classification
life-expectancy-dataset-real/impv/final.csv,"Macao SAR, China","Macao SAR, China"
life-expectancy-dataset-real/impv/final.csv,Middle East & North Africa (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries)
life-expectancy-dataset-real/impv/final.csv,Middle East & North Africa (excluding high income),Middle East & North Africa (excluding high income)
life-expectancy-dataset-real/impv/final.csv,New Caledonia,New Caledonia
life-expectancy-dataset-real/impv/final.csv,Other small states,Other small states
life-expectancy-dataset-real/impv/final.csv,Pacific island small states,Pacific island small states
life-expectancy-dataset-real/impv/final.csv,Post-demographic dividend,Post-demographic dividend
life-expectancy-dataset-real/impv/final.csv,Pre-demographic dividend,Pre-demographic dividend
life-expectancy-dataset-real/impv/final.csv,Sint Maarten (Dutch part),Sint Maarten (Dutch part)
life-expectancy-dataset-real/impv/final.csv,Small states,Small states
life-expectancy-dataset-real/impv/final.csv,South Asia (IDA & IBRD),South Asia (IDA & IBRD)
life-expectancy-dataset-real/impv/final.csv,St. Kitts and Nevis,St. Kitts and Nevis
life-expectancy-dataset-real/impv/final.csv,St. Martin (French part),St. Martin (French part)
life-expectancy-dataset-real/impv/final.csv,St. Vincent and the Grenadines,St. Vincent and the Grenadines
life-expectancy-dataset-real/impv/final.csv,Sub-Saharan Africa (IDA & IBRD countries),Sub-Saharan Africa (IDA & IBRD countries)
life-expectancy-dataset-real/impv/final.csv,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa (excluding high income)
life-expectancy-dataset-real/impv/final.csv,Virgin Islands (U.S.),Virgin Islands (U.S.)
life-expectancy-dataset-real/impv/final.csv,West Bank and Gaza,West Bank and Gaza
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,American Samoa,American Samoa
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Anguilla,Anguilla
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Australia and New Zealand,Australia and New Zealand
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Bermuda,Bermuda
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Bonaire Sint Eustatius and Saba,Bonaire Sint Eustatius and Saba
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,British Virgin Islands,British Virgin Islands
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Caribbean,Caribbean
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Cayman Islands,Cayman Islands
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Central America,Central America
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Central Asia,Central Asia
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Central and Southern Asia,Central and Southern Asia
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Channel Islands,Channel Islands
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Cook Islands,Cook Islands
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Curacao,Curacao
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Developed regions,Developed regions
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Eastern Africa,Eastern Africa
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Eastern Asia,Eastern Asia
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Eastern Europe,Eastern Europe
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Eastern and South-Eastern Asia,Eastern and South-Eastern Asia
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Europe and Northern America,Europe and Northern America
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Falkland Islands,Falkland Islands
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Faroe Islands,Faroe Islands
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,French Guiana,French Guiana
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,French Polynesia,French Polynesia
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Gibraltar,Gibraltar
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Greenland,Greenland
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Guadeloupe,Guadeloupe
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Guam,Guam
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,High-income countries,High-income countries
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Isle of Man,Isle of Man
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Land-locked Developing Countries (LLDC),Land-locked Developing Countries (LLDC)
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Latin America and the Caribbean,Latin America and the Caribbean
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Least developed countries,Least developed countries
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Less developed regions,Less developed regions
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,"Less developed regions, excluding China","Less developed regions, excluding China"
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,"Less developed regions, excluding least developed countries","Less developed regions, excluding least developed countries"
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Low-income countries,Low-income countries
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Lower-middle-income countries,Lower-middle-income countries
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Martinique,Martinique
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Mayotte,Mayotte
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Melanesia,Melanesia
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Micronesia (country),Micronesia (country)
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Middle Africa,Middle Africa
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Middle-income countries,Middle-income countries
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Montserrat,Montserrat
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,New Caledonia,New Caledonia
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Niue,Niue
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Northern Africa,Northern Africa
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Northern Africa and Western Asia,Northern Africa and Western Asia
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Northern America,Northern America
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Northern Europe,Northern Europe
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Northern Mariana Islands,Northern Mariana Islands
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Oceania (excluding Australia and New Zealand),Oceania (excluding Australia and New Zealand)
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Polynesia,Polynesia
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Reunion,Reunion
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Saint Helena,Saint Helena
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Saint Pierre and Miquelon,Saint Pierre and Miquelon
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Sint Maarten (Dutch part),Sint Maarten (Dutch part)
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Small island developing States (SIDS),Small island developing States (SIDS)
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,South-Eastern Asia,South-Eastern Asia
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Southern Africa,Southern Africa
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Southern Asia,Southern Asia
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Southern Europe,Southern Europe
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Tokelau,Tokelau
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Turks and Caicos Islands,Turks and Caicos Islands
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,United States Virgin Islands,United States Virgin Islands
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Upper-middle-income countries,Upper-middle-income countries
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Wallis and Futuna,Wallis and Futuna
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Western Africa,Western Africa
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Western Asia,Western Asia
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Western Europe,Western Europe
move-very-far/share-of-the-population-that-was-born-in-another-country.csv,Western Sahara,Western Sahara
who-worldhealth-statistics-2020-complete/uhcCoverage.csv,Democratic People's Republic of Korea,Democratic People's Republic of Korea
who-worldhealth-statistics-2020-complete/uhcCoverage.csv,Micronesia (Federated States of),Micronesia (Federated States of)
who-worldhealth-statistics-2020-complete/uhcCoverage.csv,The former Yugoslav Republic of Macedonia,The former Yugoslav Republic of Macedonia
who-worldhealth-statistics-2020-complete/uhcCoverage.csv,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of)
world-air-quality-index/AQI and Lat Long of Countries.csv,Côte d'Ivoire,Côte d'Ivoire
world-air-quality-index/AQI and Lat Long of Countries.csv,Kingdom of Eswatini,Kingdom of Eswatini
world-air-quality-index/AQI and Lat Long of Countries.csv,Republic of North Macedonia,Republic of North Macedonia
world-air-quality-index/AQI and Lat Long of Countries.csv,State of Palestine,State of Palestine
world-air-quality-index/AQI and Lat Long of Countries.csv,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of)
world-crime-index-2023/crime-index-2023.csv,TN,TN
world-crime-index-2023/crime-index-2023.csv,Trinidad And Tobago,Trinidad And Tobago
world-crime-index-2023/crime-index-2023.csv,UT,UT
world-crime-index-2023/crime-index-2023.csv,WI,WI
world-happiness-2024/World-happiness-report-2024.csv,Hong Kong S.A.R. of China,Hong Kong S.A.R. of China
world-happiness-2024/World-happiness-report-2024.csv,State of Palestine,State of Palestine
world-happiness-2024/World-happiness-report-2024.csv,Taiwan Province of China,Taiwan Province of China
world-happiness-2024/World-happiness-report-2024.csv,Turkiye,Turkiye
